name,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20,AP +,AP -,AP p-value,RR +,RR -,RR p-value,P@5 +,P@5 -,P@5 p-value,P@10 +,P@10 -,P@10 p-value,R@100 +,R@100 -,R@100 p-value,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@20 +,nDCG@20 -,nDCG@20 p-value
"BM25(k_1=1.2, b=0.75) [default]",0.3031,0.5432,0.3268,0.2375,0.7252,0.3731,0.4079,,,,,,,,,,,,,,,,,,,,,
"BM25(k_1=2.5, b=0.75) [tuned]",0.3069,0.5446,0.3232,0.2402,0.7366,0.3771,0.4149,67.0,37.0,0.3785946886549696,27.0,13.0,0.9191848990115351,7.0,9.0,0.6192449517150485,15.0,13.0,0.5922724122066156,14.0,6.0,0.050064340334607306,41.0,35.0,0.5356486389020434,52.0,35.0,0.20761958481688256
