name,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20,AP +,AP -,AP p-value,RR +,RR -,RR p-value,P@5 +,P@5 -,P@5 p-value,P@10 +,P@10 -,P@10 p-value,R@100 +,R@100 -,R@100 p-value,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@20 +,nDCG@20 -,nDCG@20 p-value
In_expB2(c=0.5),0.323,0.563,0.3393,0.25,0.7561,0.3949,0.4281,,,,,,,,,,,,,,,,,,,,,
"In_expB2(c=0.5) + Bo1(docs=5, terms=20)",0.3456,0.5459,0.3589,0.2723,0.7945,0.4095,0.4485,71.0,39.0,0.006188377793295447,27.0,27.0,0.4614901315444999,12.0,2.0,0.00706787014431621,28.0,7.0,0.0001860312967142556,25.0,9.0,0.0011120843640880329,48.0,35.0,0.11871073367626696,59.0,38.0,0.0467371567833117
