name,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20,AP +,AP -,AP p-value,RR +,RR -,RR p-value,P@5 +,P@5 -,P@5 p-value,P@10 +,P@10 -,P@10 p-value,R@100 +,R@100 -,R@100 p-value,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@20 +,nDCG@20 -,nDCG@20 p-value
In_expB2(c=1.0) [default],0.329,0.5543,0.3342,0.2538,0.7571,0.3896,0.4291,,,,,,,,,,,,,,,,,,,,,
In_expB2(c=0.5) [tuned],0.332,0.5494,0.344,0.2582,0.7679,0.3931,0.4324,125.0,79.0,0.3688562916627209,40.0,37.0,0.6451686106551405,24.0,14.0,0.08582682631905242,32.0,23.0,0.18979012838922762,26.0,8.0,0.00473241138423408,83.0,66.0,0.3937502580488632,91.0,80.0,0.33397356796949235
