name,model,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20
"BM25(k_1=2.0, b=0.3)",BM25,0.3251,0.5477,0.3327,0.246,0.7538,0.3821,0.4204
"BM25(k_1=0.6, b=1.0)",BM25,0.3235,0.5472,0.3327,0.2257,0.7441,0.3677,0.4167
"BM25(k_1=0.6, b=0.9)",BM25,0.3234,0.5483,0.3274,0.2248,0.7453,0.3666,0.4151
"BM25(k_1=1.0, b=0.4)",BM25,0.3229,0.5491,0.3274,0.2363,0.7465,0.3741,0.4209
"BM25(k_1=0.8, b=0.5)",BM25,0.3219,0.5448,0.3257,0.2292,0.7473,0.3708,0.418
"BM25(k_1=1.6, b=0.3)",BM25,0.3214,0.5543,0.3257,0.2398,0.7493,0.3778,0.4204
"BM25(k_1=1.6, b=0.2)",BM25,0.321,0.5575,0.3186,0.2372,0.7502,0.3744,0.4189
"BM25(k_1=0.6, b=0.75)",BM25,0.3209,0.5481,0.3204,0.231,0.7452,0.3704,0.4122
"BM25(k_1=1.4, b=0.3)",BM25,0.3203,0.554,0.3327,0.2389,0.7485,0.3768,0.4195
"BM25(k_1=2.0, b=0.2)",BM25,0.3202,0.5545,0.3186,0.2425,0.7503,0.3782,0.4174
"BM25(k_1=4.0, b=0.2)",BM25,0.3198,0.5597,0.3292,0.2442,0.7572,0.3801,0.4243
"BM25(k_1=1.2, b=0.3)",BM25,0.3195,0.5543,0.331,0.2345,0.7487,0.3736,0.418
"BM25(k_1=3.0, b=0.2)",BM25,0.3183,0.551,0.3292,0.2487,0.7551,0.3788,0.4208
"BM25(k_1=0.6, b=0.6)",BM25,0.3182,0.545,0.3204,0.2283,0.7442,0.3675,0.4133
"BM25(k_1=1.4, b=0.2)",BM25,0.3181,0.5543,0.3239,0.2336,0.7468,0.3707,0.4167
"BM25(k_1=2.5, b=0.2)",BM25,0.3178,0.5487,0.331,0.246,0.7508,0.3762,0.4204
"BM25(k_1=2.0, b=0.1)",BM25,0.3173,0.5572,0.3168,0.2345,0.7487,0.3717,0.4193
"BM25(k_1=0.8, b=0.4)",BM25,0.317,0.5473,0.3133,0.2292,0.7439,0.3662,0.4133
"BM25(k_1=0.6, b=0.5)",BM25,0.3169,0.5516,0.3115,0.2239,0.7441,0.3629,0.4122
"BM25(k_1=3.0, b=0.1)",BM25,0.3162,0.5581,0.3257,0.2363,0.7512,0.37,0.4174
"BM25(k_1=1.2, b=0.2)",BM25,0.3156,0.5585,0.3221,0.2301,0.7475,0.368,0.4163
"BM25(k_1=0.4, b=0.9)",BM25,0.3146,0.5435,0.315,0.2204,0.738,0.3618,0.4074
"BM25(k_1=1.6, b=0.1)",BM25,0.3146,0.5562,0.3133,0.2319,0.7463,0.3665,0.4144
"BM25(k_1=2.5, b=0.1)",BM25,0.3141,0.5578,0.3257,0.2389,0.7496,0.372,0.4151
"BM25(k_1=4.0, b=0.1)",BM25,0.314,0.5543,0.315,0.2381,0.75,0.3703,0.4147
"BM25(k_1=0.4, b=1.0)",BM25,0.3137,0.5356,0.3168,0.2204,0.738,0.3597,0.4062
