name,AP,RR,P@5,P@10,R@100,nDCG@10,nDCG@20,AP +,AP -,AP p-value,RR +,RR -,RR p-value,P@5 +,P@5 -,P@5 p-value,P@10 +,P@10 -,P@10 p-value,R@100 +,R@100 -,R@100 p-value,nDCG@10 +,nDCG@10 -,nDCG@10 p-value,nDCG@20 +,nDCG@20 -,nDCG@20 p-value
In_expB2(c=0.5),0.332,0.5494,0.344,0.2582,0.7679,0.3931,0.4324,,,,,,,,,,,,,,,,,,,,,
"In_expB2(c=0.5) + Bo1(docs=5, terms=20)",0.3599,0.5439,0.3582,0.2764,0.7933,0.4124,0.4527,139.0,74.0,9.246968404908599e-06,50.0,56.0,0.7127729647155783,20.0,5.0,0.002327245176680897,49.0,18.0,6.785443069001922e-05,42.0,15.0,9.627330294505682e-05,103.0,62.0,0.004346951492907548,115.0,76.0,0.002938560119326744
